month,item,category,item_en
1,菠萝,fruit,Pinapple
1,甘蔗,fruit,Sugarcane
1,砂糖橘,fruit,Sugar orange
1,腰果,nut,Cashew nuts 215 000
1,白菜,vege,White Cabbage
1,小白菜,vege,Chinese cabbage#Varieties
1,菠菜,vege,baby spinach
1,彩椒,vege,Colorful pepper
1,胡萝卜,vege,Carrot
2,甘蔗,fruit,Sugarcane
2,柠檬,fruit,Lemon
2,圣女果,fruit,RED CHERRY TOMATO
2,白菜,vege,White Cabbage
2,小白菜,vege,Chinese cabbage#Varieties
2,韭菜,vege,Allium tuberosum
2,彩椒,vege,Colorful pepper
2,胡萝卜,vege,Carrot
2,春笋,vege,Spring bamboo shoots
2,腰果,nut,Cashew nuts 215 000
3,枇杷,fruit,Loquat
3,柠檬,fruit,Lemon
3,圣女果,fruit,RED CHERRY TOMATO
3,荸荠,vege,荸荠
3,小白菜,vege,Chinese cabbage#Varieties
3,韭菜,vege,Allium tuberosum
3,彩椒,vege,Colorful pepper
3,胡萝卜,vege,Carrot
3,春笋,vege,Spring bamboo shoots
3,腰果,nut,Cashew nuts 215 000
4,枇杷,fruit,Loquat
4,柠檬,fruit,Lemon
4,圣女果,fruit,RED CHERRY TOMATO
4,菠萝,fruit,Pinapple
4,韭菜,vege,Allium tuberosum
4,彩椒,vege,Colorful pepper
4,胡萝卜,vege,Carrot
4,春笋,vege,Spring bamboo shoots
4,荸荠,vege,荸荠
4,茶树菇,vege,Tea tree mushroom
4,大葱,vege,Allium fistulosum
4,西兰花,vege,Broccoli
4,蒜苔,vege,Garlic moss
4,腰果,nut,Cashew nuts 215 000
5,菠萝,fruit,Pinapple
5,草莓,fruit,Garden strawberry
5,火龙果,fruit,火龙果
5,荔枝,fruit,Lychee
5,枇杷,fruit,Loquat
5,桑葚,fruit,Mulberry
5,山竹,fruit,Purple mangosteen
5,樱桃,fruit,Cherry
5,白萝卜,vege,Radish
5,菠菜,vege,baby spinach
5,彩椒,vege,Colorful pepper
5,春笋,vege,Spring bamboo shoots
5,茶树菇,vege,Tea tree mushroom
5,大葱,vege,Allium fistulosum
5,韭菜,vege,Allium tuberosum
5,蒜苔,vege,Garlic moss
5,土豆,vege,Tudou
5,西兰花,vege,Broccoli
5,圆白菜,vege,cabbage
5,洋葱,vege,onion
5,油菜,vege,Canola
5,蚕豆,nut,Vicia faba
5,腰果,nut,Cashew nuts 215 000
6,菠萝,fruit,Pinapple
6,草莓,fruit,Garden strawberry
6,黑莓,fruit,Blackberry
6,火龙果,fruit,火龙果
6,蓝莓,fruit,Blueberry|blueberries
6,荔枝,fruit,Lychee
6,榴莲,fruit,Durian
6,桑葚,fruit,Mulberry
6,桃,fruit,Peach
6,山竹,fruit,Purple mangosteen
6,杏,fruit,Almond
6,西瓜,fruit,watermelon
6,香瓜,fruit,muskmelons
6,樱桃,fruit,Cherry
6,杨梅,fruit,Myrica rubra
6,椰子,fruit,Coconut
6,神秘果,fruit,Mysterious fruit
6,释迦果,fruit,Sakyamuni
6,白萝卜,vege,Radish
6,菠菜,vege,baby spinach
6,彩椒,vege,Colorful pepper
6,茶树菇,vege,Tea tree mushroom
6,豆角,vege,Beans
6,大葱,vege,Allium fistulosum
6,大蒜,vege,garlic
6,黄瓜,vege,Cucumber
6,茄子,vege,Eggplant
6,土豆,vege,Tudou
6,西红柿,vege,Tomato
6,圆白菜,vege,cabbage
6,洋葱,vege,onion
6,油菜,vege,Canola
6,蚕豆,nut,Vicia faba
7,苹果,fruit,Apple
7,菠萝,fruit,Pinapple
7,黑莓,fruit,Blackberry
7,火龙果,fruit,火龙果
7,哈密瓜,fruit,Cantaloupe
7,龙眼,fruit,Dimocarpus longan
7,蓝莓,fruit,Blueberry|blueberries
7,李子,fruit,Prunus salicina
7,荔枝,fruit,Lychee
7,榴莲,fruit,Durian
7,芒果,fruit,Mango
7,蟠桃,fruit,Peach
7,桃,fruit,Peach
7,山竹,fruit,Purple mangosteen
7,杏,fruit,Almond
7,西瓜,fruit,watermelon
7,香瓜,fruit,muskmelons
7,油桃,fruit,Nectarines
7,杨梅,fruit,Myrica rubra
7,杨桃,fruit,Carambola
7,椰子,fruit,Coconut
7,释迦果,fruit,Sakyamuni
7,白菜,vege,White Cabbage
7,菠菜,vege,baby spinach
7,彩椒,vege,Colorful pepper
7,茶树菇,vege,Tea tree mushroom
7,豆角,vege,Beans
7,大葱,vege,Allium fistulosum
7,大蒜,vege,garlic
7,黄瓜,vege,Cucumber
7,南瓜,vege,Pumpkin
7,茄子,vege,Eggplant
7,土豆,vege,Tudou
7,西红柿,vege,Tomato
7,圆白菜,vege,cabbage
7,洋葱,vege,onion
7,核桃,nut,Walnuts
7,葵花子,nut,sunflower seeds
7,夏威夷果,nut,Macadamia
8,苹果,fruit,Apple
8,百香果,fruit,Passiflora edulis
8,黄桃,fruit,Yellow peach
8,火龙果,fruit,火龙果
8,哈密瓜,fruit,Cantaloupe
8,龙眼,fruit,Dimocarpus longan
8,蓝莓,fruit,Blueberry|blueberries
8,李子,fruit,Prunus salicina
8,荔枝,fruit,Lychee
8,榴莲,fruit,Durian
8,猕猴桃,fruit,Kiwi
8,木瓜,fruit,papaya
8,芒果,fruit,Mango
8,葡萄,fruit,Grape
8,蟠桃,fruit,Peach
8,青提,fruit,Green
8,桃,fruit,Peach
8,沙果,fruit,Shaguo
8,山竹,fruit,Purple mangosteen
8,无花果,fruit,fig
8,西瓜,fruit,watermelon
8,油桃,fruit,Nectarines
8,杨梅,fruit,Myrica rubra
8,杨桃,fruit,Carambola
8,椰子,fruit,Coconut
8,释迦果,fruit,Sakyamuni
8,白菜,vege,White Cabbage
8,菠菜,vege,baby spinach
